building,fence,byciclist,tree,void,sky,sign,column_pole,pedestrian,car,sidewalk,road
16810,0,0,28760,1786,36222,388,311,799,29476,0,58248
69730,0,0,0,4567,14965,1578,715,128,23635,5246,52236
47310,0,0,5277,2582,32980,0,293,1312,21931,1503,59612
54044,3607,153,12762,3011,17508,706,1765,2494,913,10944,64893
2651,759,0,29196,6315,60393,4981,1840,0,333,5755,60577
54440,4240,163,0,22327,19019,523,894,845,8486,5880,55983
86334,0,0,439,4961,14083,0,1151,380,0,10279,55173
11093,882,544,28659,5510,37123,2842,4340,321,19781,992,60713
71071,0,549,3706,8982,29787,1822,1121,1276,14164,2345,37977
18231,0,0,29362,1950,32648,411,386,1289,27267,0,61256
106509,0,0,0,1403,3966,0,1747,2046,0,14698,42431
249,0,0,21749,13610,55069,272,1413,0,2944,15621,61873
49243,21298,0,22030,4301,12362,0,854,391,1143,6435,54743
22347,0,0,28154,925,32515,506,437,310,27120,473,60013
38058,10533,182,12254,1947,32571,965,775,179,3848,21427,50061
27619,0,415,15617,538,30800,1994,2027,2022,33740,1311,56717
39675,2905,14245,20172,6984,17566,1539,1128,107,9617,6556,52306
58154,1108,117,3829,2688,16871,7085,2821,1049,9488,16060,53530
59509,0,0,3617,2803,30561,574,1452,1060,5839,18157,49228
68592,0,1223,0,1767,21103,2022,1629,2557,2246,9734,61927
34695,13612,66,23658,789,26497,1822,2562,1350,7300,6224,54225
60293,6654,0,0,3281,23545,1042,517,3782,3022,9265,61399
19703,0,239,38617,14642,43415,713,697,173,10434,14315,29852
60283,0,1681,6520,6540,31230,608,588,1241,31926,4320,27863
51480,0,0,4861,1195,32974,0,375,1449,19505,1655,59306
26372,0,0,22198,1073,33129,723,540,351,26569,640,61205
69865,0,2004,3566,9762,28167,1511,1265,90,15070,3660,37840
62827,0,0,1899,5009,31003,0,792,2480,1244,5842,61704
64324,0,0,0,2317,17527,2524,714,291,25101,1712,58290
26253,2120,0,45428,14950,34902,88,491,591,4483,6777,36717
8459,16291,0,21761,5327,48538,2580,3525,869,5442,7177,52831
29030,0,85,20677,11406,33795,1385,3412,585,32499,14890,25036
27865,0,0,19708,1361,33271,625,691,672,25356,673,62578
54698,0,0,6876,1290,24335,1749,2370,880,8211,4262,68129
28714,1275,0,16476,3549,35169,3850,3055,295,11542,10131,58744
24742,11356,10,11355,1038,51919,408,1348,13,384,9412,60815
6641,0,0,30193,4350,48791,3614,2923,50,1717,10683,63838
44135,0,78,13432,653,31395,1118,2080,2248,6338,9862,61461
72369,309,0,2563,1471,19139,1827,1364,627,5308,15487,52336
5304,0,0,18046,4173,51625,7264,2225,517,20467,0,63179
13479,0,0,49612,5450,20903,80,203,660,23845,0,58568
8539,0,0,39551,8795,33115,5680,2052,0,6894,3502,64672
115300,0,0,0,1614,0,0,0,0,0,12769,43117
64726,0,0,2303,7980,23726,2543,1904,731,40851,11897,16139
15076,0,0,20279,1728,58667,700,1770,0,1960,2800,69820
49283,2658,575,16657,5878,15970,4565,2072,336,4699,13871,56236
31929,205,53,0,54099,17058,926,615,524,15890,847,50654
43062,0,0,8953,1951,32680,63,135,1155,24207,1459,59135
66852,0,0,3367,12668,24272,998,3153,1467,19939,16319,23765
43459,878,1040,25622,5874,14756,1199,1968,2562,12022,16571,46849
24328,3882,0,31496,9443,40946,1238,650,129,19450,4936,36302
25467,21812,0,26537,7997,28487,0,953,821,2125,7373,51228
77104,0,3228,0,3664,9864,1938,1604,2721,993,7894,63790
66430,524,104,3423,4122,15908,758,6518,3388,783,22948,47894
73541,0,2979,4310,7582,29906,2192,360,1054,11236,6035,33605
57781,0,0,9094,863,18860,1840,1237,172,21682,2038,59233
45567,3871,8160,19717,5581,15207,2515,855,185,6498,9529,55115
447,10699,0,52402,5827,33730,10,613,0,1945,2848,64279
1257,0,0,38444,11101,39556,743,851,78,2276,2165,76329
480,0,0,48433,4937,36802,60,663,105,2866,2249,76205
59065,0,82,8434,1814,19724,1911,1774,803,10174,2676,66343
14476,0,0,40435,1811,30756,328,295,565,28162,105,55867
48272,6025,184,17688,3819,16341,1139,3527,1567,1756,10569,61913
21732,212,40,23652,5260,31132,1546,1792,894,15573,1240,69727
11650,0,0,50867,2281,20606,54,31,111,24154,0,63046
49419,0,343,6646,620,26106,4039,1843,473,20650,2472,60189
43542,0,588,8830,455,33721,2259,2934,1183,18961,4251,56076
9159,0,0,25521,6346,55429,2132,1712,0,1233,5512,65756
37929,6243,78,6148,1955,41753,336,1963,163,474,10146,65612
14920,680,0,15564,17444,46863,979,1911,87,5847,15924,52581
26005,1402,641,19478,2869,38627,820,2319,1402,1053,15531,62653
21046,466,0,23392,6676,36508,1864,2318,1250,11942,1423,65915
5547,4312,2299,38839,8020,36776,4959,3749,583,1757,7989,57970
11087,1422,1029,26478,5756,36831,3740,6458,135,16554,2241,61069
3801,1732,0,19861,10166,59747,2276,1569,24,138,6692,66794
589,2907,0,58529,6581,33779,324,810,47,1395,501,67338
66361,1135,0,0,3201,22554,1052,760,2817,16412,6315,52193
30579,2238,34,17722,3469,32653,3257,3314,825,8339,9937,60433
55013,0,4331,7180,903,23342,2147,1870,941,4953,3165,68955
11816,0,0,52872,4458,20265,53,45,181,20461,0,62649
68128,0,0,2948,9299,24188,3041,1783,1008,30489,12358,19558
29486,7905,87,10704,2868,44169,429,1130,230,617,13053,62122
65351,0,0,0,4176,18665,835,1128,2182,14630,3894,61939
29327,0,443,16717,536,30979,1894,2053,1097,31109,1284,57361
72854,0,0,1208,5603,22469,0,1115,219,0,7633,61699
54753,0,1858,7803,1896,20286,1282,1392,698,11993,1373,69466
30848,2314,0,21585,14844,27065,996,692,1834,2053,8219,62350
26027,1486,39,13891,3361,44057,960,3254,250,1470,17932,60073
57870,0,1258,8477,1774,18949,1533,1252,550,4128,2359,74650
66496,1524,99,2909,3783,15718,653,6348,2527,662,23448,48633
63865,812,83,4553,5251,17670,1886,2498,4830,210,13253,57889
9642,0,0,48996,12357,19888,11775,4491,0,10353,10506,44792
5019,0,0,38515,12882,31599,8236,2693,23,8689,5586,59558
51568,55,415,17334,5824,18779,1387,1361,4271,294,14081,57431
12396,0,0,40987,4478,29129,215,311,476,28378,88,56342
63454,6144,262,1732,7967,40598,6276,972,484,3713,6034,35164
41880,5471,241,25315,5800,16080,1348,667,3439,5462,8937,58160
66616,5617,0,0,2964,21044,1150,640,3431,1150,10645,59543
41067,447,73,0,46263,18081,609,1042,778,2477,6999,54964
70400,3429,101,0,1670,19811,831,685,1593,787,12043,61450
22828,378,52,24980,6501,31194,1873,2069,514,9716,1812,70883
7604,0,0,34497,4335,34582,169,30,3685,27046,0,60852
70766,68,48,0,1002,18184,2732,1018,4709,1445,16800,56028
49201,0,87,10359,627,30044,1052,2262,1516,1139,10581,65932
65626,0,0,2088,3319,23600,4978,3325,971,8949,9194,50750
71005,1583,24,0,1048,18958,2413,1041,1833,9193,15702,50000
7174,9655,0,25997,6805,43057,14415,2731,509,3788,7359,51310
1086,1323,0,42078,7702,45565,546,1015,0,3056,1965,68464
11381,1489,1706,28967,9265,32968,2562,2104,152,1375,5654,75177
56402,0,0,7084,1518,21037,1350,2074,332,9041,2462,71500
72831,0,7387,4051,8403,30645,1825,1420,890,6479,3939,34930
66076,0,6673,2519,5479,12701,611,1422,3402,861,13452,59604
67254,719,101,3022,4102,17319,939,4166,2944,307,22508,49419
71039,1464,74,1164,3908,18626,606,1641,835,752,13116,59575
67201,214,22,0,805,18752,5941,1287,2091,9016,15966,51505
23451,7337,1723,32231,6690,16192,649,1474,438,22223,7336,53056
20597,0,0,26731,3506,32465,544,576,4619,22593,306,60863
8302,225,0,36580,4527,32355,8630,4288,0,6255,9733,61905
6096,6381,0,41440,9132,37257,5475,3784,1207,2652,9348,50028
29730,0,413,15197,280,31129,1646,1979,2118,32120,1129,57059
58224,0,0,9032,1411,18655,1816,1585,250,16593,2037,63197
42540,0,0,16569,11106,48559,880,552,972,6176,7793,37653
34510,4720,1607,25359,5383,21816,325,794,3871,10698,15308,48409
43616,1743,1294,25987,4255,15140,602,470,5531,3919,17816,52427
1319,0,0,35524,6320,47028,22515,4807,0,6869,0,48418
4774,2775,0,32273,10686,41325,7089,3884,168,1970,8726,59130
56283,0,0,4658,2657,32390,0,750,1573,11438,3709,59342
65276,0,0,5886,4262,25453,309,622,2732,3545,13738,50977
59288,0,35,0,9037,14838,1401,573,1231,36809,2932,46656
53228,0,0,2489,13597,16588,9168,3331,555,3815,13560,56469
62622,0,1585,12019,9371,30697,684,1186,796,16276,3502,34062
55363,3306,119,13390,11650,13562,402,822,534,312,11288,62052
64944,0,115,0,14383,14387,1407,1205,0,19139,6395,50825
39685,1129,0,20527,10289,48951,655,1368,1356,4254,8698,35888
40888,0,45,9966,10919,29957,1799,2746,3442,36283,15458,21297
55293,728,2377,7647,1627,22070,1494,912,1255,5524,17442,56431
47934,0,112,5739,635,29322,3218,3630,443,13928,3278,64561
48163,2930,1935,14697,1927,21161,1129,1504,2689,5738,9972,60955
29990,0,0,16076,1457,32611,627,708,572,25792,422,64545
40631,7426,355,13528,3174,29896,979,1121,241,4410,20910,50129
54863,0,0,7760,2376,18962,1780,1567,722,18487,1073,65210
16192,0,0,48086,5875,19704,134,259,384,23051,0,59115
70504,0,0,1618,6359,18004,3098,623,2661,2169,12082,55682
25046,0,6764,5382,23234,28615,990,1089,0,1076,10552,70052
80057,40,33,0,600,18069,1268,526,1229,3346,19508,48124
26096,5994,244,14484,3878,40906,478,1544,618,805,13917,63836
68785,1571,47,951,4384,18729,446,2875,1313,366,10437,62896
75801,0,501,3056,7990,29585,1816,1325,737,14648,3823,33518
1698,4203,0,32771,9154,45210,295,388,0,3205,2765,73111
8237,0,0,29000,3528,40053,134,23,1870,29574,0,60381
5560,4893,2698,38994,7482,35529,6886,4201,844,1986,8384,55343
12096,0,0,52929,5971,21577,9125,2834,0,3041,4011,61216
24116,741,44,14335,3735,50102,969,2510,331,2995,17358,55564
46596,0,134,6044,637,26378,4144,2924,257,21318,2877,61491
12361,15344,2721,16290,15202,46227,0,824,0,1623,9189,53019
48441,179,0,9363,4145,28054,1138,2750,2468,4783,7045,64434
56554,0,1355,7175,929,24109,1744,2489,757,2731,4561,70396
67121,0,0,0,2888,20080,2782,1191,3026,4589,8713,62410
26950,0,330,15736,777,30846,1765,1905,1669,30498,1145,61179
72678,0,1671,5634,8658,29332,1245,394,1348,11652,5317,34871
65525,395,5093,0,2463,20133,830,750,2074,15574,3944,56019
65849,0,0,0,2038,17699,1721,409,85,25693,678,58628
16031,274,299,26983,4473,38750,1598,2592,578,18944,1024,61254
30209,0,421,15867,502,31511,1944,1995,1225,31163,1321,56642
12965,1740,0,8038,20133,46452,90,1876,0,8181,4096,69229
62376,8100,0,5316,956,21351,1029,1129,0,1372,5255,65916
33251,4067,0,37421,8832,34580,318,1007,571,8044,6852,37857
40564,2440,0,13397,10867,27443,516,7907,2961,661,23139,42905
51363,0,1601,0,21522,14317,3821,838,3548,1190,7902,66698
11453,0,0,50719,4477,22007,48,73,601,22040,0,61382
10371,2049,0,26970,11167,39642,4971,2954,198,2074,9308,63096
8067,0,0,37583,7876,29193,27753,3308,0,8489,403,50128
14607,7314,0,12129,10690,55626,114,919,414,1912,7889,61186
28561,6471,33,8718,1270,44959,4947,2650,0,1253,12000,61938
34235,3244,25,17974,2896,28942,2599,5521,636,5631,9517,61580
34371,0,459,11073,520,33441,1986,2070,1100,28761,1578,57441
