building,bicycle,fence,wall,sky,traffic light,terrain,traffic sign,person,pole,train,truck,vegetation,car,bus,sidewalk,void,rider,road,motorcycle
270630,583,7,6,115483,16,0,60,48645,4045,0,0,53828,5402,48217,280993,133164,1375,10294,52
193613,8603,3454,0,240,0,0,75,27124,8823,0,0,52863,40793,24549,538606,9909,12427,51268,453
312022,60,0,0,102732,1067,0,794,9137,4125,0,0,31819,223188,0,227664,11111,250,48831,0
130875,3115,51,0,124341,0,0,1375,125925,9309,0,0,264790,26272,36025,25481,93755,2034,129444,8
162647,715,384,1807,154417,788,0,3393,199451,13946,0,0,92818,23553,9050,245877,48109,3934,10466,1445
186506,1353,886,0,95762,82,0,765,102883,8010,0,0,252126,7696,1860,280982,9896,2094,17375,4524
388239,1755,863,0,0,778,0,718,95071,20112,0,0,36285,0,0,217137,12414,4163,192591,2674
504386,479,2291,0,28973,2141,0,2205,15737,1246,0,0,2805,8161,0,204052,3322,612,196390,0
557914,406,213,0,37780,1226,0,635,41143,2669,0,0,3009,84879,164,83487,10816,857,147498,104
192786,823,1252,16256,0,153,0,305,25134,3356,0,0,64063,7962,38310,336300,34841,1291,249950,18
315804,3097,5109,4506,102386,916,0,2027,22384,14447,0,0,8082,14014,2369,54769,36793,51426,323846,10825
377764,10,15,0,35841,0,0,0,32553,1065,0,0,121937,1539,3910,385168,11041,12,1942,3
311209,2325,0,0,67910,0,0,25,68809,2195,0,0,91167,0,0,198284,213537,6342,10449,548
93052,2628,887,9716,243,96,0,282,17800,17995,0,0,103947,105819,11495,122661,41166,8053,435077,1883
169352,5692,59,995,183380,9,0,107,88190,22577,0,0,79661,10976,2432,98798,20451,4975,285124,22
209591,1255,298,8566,61735,5,0,332,15799,5184,0,0,144229,232565,4202,45704,26566,2644,214115,10
266422,41,747,1888,198254,312,0,373,10835,4411,0,0,54943,81717,338,332855,5622,337,13705,0
315478,4051,0,0,0,0,0,0,104094,5339,0,0,0,0,0,55905,843,8348,474951,3791
373840,1007,0,0,45386,2442,0,1253,77807,3202,0,0,2829,141514,116,57236,15595,2041,248414,118
300590,7591,0,0,171596,0,0,24,59983,2776,0,0,55582,15544,435,295489,23182,37246,2713,49
408624,2117,31420,0,36640,16978,0,4114,77710,13771,0,0,33179,0,0,171084,27059,3849,144684,1571
140926,616,0,0,133309,0,0,1169,33740,3215,0,0,169555,8330,4275,67688,82223,463,327191,100
363039,0,0,0,56379,333,0,1980,88970,47455,0,0,3348,1819,0,176950,82688,0,149839,0
186204,893,1550,64,152102,2803,0,5047,13667,74057,0,0,30987,10619,95093,100756,145825,2416,150708,9
169440,824,1,0,45699,139,0,1595,38961,4362,0,0,140635,284677,0,99235,44117,1652,139639,1824
354736,10028,2799,0,19,58,0,87,34305,4048,0,0,43578,18776,26702,410135,10244,16810,39991,484
184900,1327,18515,0,39144,0,0,0,23297,3360,0,0,282593,9320,0,141762,15488,2800,249843,451
408224,353,1676,0,12694,559,0,1200,18808,7453,0,0,18576,22197,16454,128612,90225,598,245056,115
260946,4385,14198,0,5472,1403,0,1779,17282,18447,0,0,110758,41086,20853,281409,49210,9172,129168,7232
221796,606,665,204,112245,37,0,1001,30348,79376,0,0,48492,13869,3193,130051,3897,2883,317157,6980
402097,746,0,0,59546,295,0,1631,65961,26129,0,0,2829,1557,0,200751,63875,798,146585,0
378480,2947,0,0,38397,2107,0,1193,111761,377,0,0,11760,18183,0,48172,27116,8756,323551,0
205819,3669,9848,0,6504,740,0,464,20784,8982,0,0,183813,50891,7938,234455,46226,7311,177581,7775
217792,1896,44,0,66360,32,0,1094,12071,9589,0,0,272351,129403,416,34824,19001,6516,201067,344
258864,2605,2469,0,0,158,0,328,23223,5557,0,0,91301,26834,0,413066,12351,3918,130324,1802
231298,97,1880,9488,86812,167,0,175,18420,12091,0,0,230739,70239,13776,45509,31981,336,219792,0
502876,105,322,0,19514,359,0,293,88265,3088,0,0,3058,6157,0,271151,9047,162,68403,0
205339,1154,3299,9184,1327,329,0,1369,16579,6584,0,0,164815,95543,11671,144122,32115,2678,274003,2689
137158,1517,3932,7044,114,2805,0,4151,23688,23093,0,0,95516,71934,32570,125964,82432,2344,358155,383
271374,2788,4114,0,0,721,0,520,16079,7135,0,0,97471,51287,2449,191770,58373,4749,261746,2224
229440,1309,11,1179,2402,0,0,1019,34040,15291,0,0,79113,17895,2466,217226,13047,2042,355753,567
208908,5607,14236,0,34937,161,0,947,66175,16076,0,0,56067,42445,4109,158573,43581,8581,312387,10
361122,121,739,67960,87112,106,0,58,15246,8640,0,0,45238,20697,10099,214062,12484,476,128640,0
299974,2702,4083,5397,32536,33,0,481,13980,16824,0,0,72456,86246,35105,73524,48544,3248,277667,0
136004,219,0,358,45499,396,0,55,42954,950,0,0,394095,30558,10965,227124,41302,1295,38379,2647
232931,62,718,0,169929,35,0,139,1998,4605,0,0,144339,16173,11575,44654,32394,378,312308,562
366637,988,80,0,47102,2741,0,1707,92081,4468,0,0,3858,165,3,97575,26800,2044,326054,497
312410,1922,0,0,115632,0,0,43,76450,1012,0,0,119949,344,0,334160,5978,4634,266,0
184096,583,111,0,230476,59,0,419,21248,9094,0,0,57825,187815,2828,28595,22485,1783,225192,191
209629,1904,917,3169,18875,16,0,622,31058,9957,0,0,96366,103543,4242,117398,32902,4539,337040,623
407769,2,167,0,3359,3584,0,3093,27628,5339,0,0,11341,1240,367,178347,53643,186,276234,501
433298,1063,26,0,60605,143,0,680,35762,23290,0,0,48200,912,658,333420,9190,2529,22682,342
271459,7550,0,0,53146,0,0,31,99652,2413,0,0,117611,3644,0,348975,45493,14795,8031,0
227330,2061,13,0,90428,1,0,1003,8158,5236,0,0,261912,101445,16331,28374,16570,5399,208329,210
126502,168,465,1379,194267,13,0,1077,25295,13555,0,0,80003,21387,57863,306551,24244,497,119369,165
317157,36,437,0,46210,209,0,814,105803,10851,0,0,38687,40290,0,240202,847,485,170694,78
244723,8102,477,6117,102606,63,0,123,11339,9042,0,0,119236,73187,9301,22712,35176,16352,310533,3711
332612,95,41,54794,59992,5,0,812,15719,7717,0,0,53216,11175,9511,192538,56894,235,177444,0
333502,2890,300,15457,118574,123,0,942,5925,11980,0,0,106586,22546,925,83900,51471,4091,213487,101
255094,1112,2876,0,4432,373,0,1465,30673,6559,0,0,152822,42537,24884,245275,38436,3710,159212,3340
153651,2076,1182,272,25997,0,0,2362,62074,2287,0,0,393298,13734,10434,219503,40069,3188,40568,2105
313930,20843,3146,0,145190,0,0,55,69392,5710,0,0,23012,20494,0,319671,10746,30711,9180,720
443022,161,165,0,45240,2410,0,2351,60329,7473,0,0,8219,8285,266,104986,14531,333,274737,292
275952,287,0,20818,14439,187,0,478,26224,5398,0,0,73684,42332,3182,168603,35849,653,304714,0
196948,2272,256,0,180405,0,0,421,7771,7922,0,0,113008,36892,0,26522,61733,4786,332399,1465
261779,2345,584,0,0,0,0,66,20601,5518,0,0,260428,43871,23395,213301,11006,4360,121818,3728
127829,2228,905,1278,92351,312,0,0,58552,2948,0,0,287406,3836,3315,370741,8672,1547,9170,1710
373918,8458,0,0,110457,0,0,131,66616,3300,0,0,217,110,0,32570,459,12447,364117,0
256725,1560,4,0,81589,25,0,264,51285,5182,0,0,153347,141193,4982,95472,6146,57129,79471,38426
170273,2492,3515,840,87427,0,0,0,6621,1740,0,0,326894,25649,1727,91038,49854,30333,125271,49126
356823,3459,268,0,18051,616,0,1357,16630,9233,0,0,29714,93902,20777,120798,87210,4985,208874,103
298438,3372,2635,0,0,0,0,218,11845,2617,0,0,82151,75000,3767,232542,45462,6354,202357,6042
118629,196,0,0,141448,0,0,29,50217,4876,0,0,369213,5892,43321,44401,92111,1061,99525,1881
148379,13353,0,0,139046,0,0,280,47156,3982,0,0,225094,46031,32147,66204,44857,11013,195258,0
189699,213,1672,170,231111,130,0,10,269612,1635,0,0,61970,1689,344,204133,5933,302,4176,1
224514,3430,5307,0,220125,0,0,9,67718,10603,0,0,64124,58943,1938,263096,3782,3654,45557,0
226022,1836,5,2333,1403,0,0,1097,35822,15397,0,0,68446,15696,3321,212269,10668,2045,375641,799
315525,709,230,22264,27863,0,0,221,18709,4597,0,0,69969,102817,31,173808,32055,1003,202999,0
347867,7673,0,1044,122788,0,0,0,24772,16281,0,0,2129,173427,5485,87089,1155,21986,160609,495
99783,118,0,832,149992,26,0,1673,103340,11429,0,0,44804,5936,136956,228800,51890,432,136546,243
356205,25321,116,0,24755,43,0,955,126800,8355,0,0,4545,111,131,30608,3316,32207,355294,4038
341357,793,3155,0,0,0,0,91,45381,10207,0,0,41864,25418,0,282293,3300,1635,215125,2181
315352,2755,303,685,18782,228,0,703,14472,5828,0,0,151559,38349,5368,174924,30280,4257,205661,3294
174493,249,806,0,191741,0,0,60,8081,13215,0,0,115525,45548,0,28339,41625,502,352582,34
193259,1370,64,27,9478,0,0,1239,38676,5647,0,0,304018,2,691,157833,82059,1463,175656,1318
276921,1113,103,3231,57266,0,0,126,58221,4399,0,0,118280,3451,9416,401578,28840,2618,7237,0
311650,1546,1618,0,0,138,0,115,21316,4960,0,0,85414,56465,3190,363341,11950,2423,107528,1146
325067,1303,848,1341,63224,291,0,648,32849,7472,0,0,60267,33678,4711,177160,19503,2877,239460,2101
172632,8862,0,4455,35973,0,0,2266,28110,7789,0,0,79902,0,146043,126666,40471,10406,309225,0
435687,2169,1000,0,86300,599,0,671,74747,7250,0,0,4348,2362,0,155524,67768,7398,123542,3435
304747,1797,1089,1331,39186,333,0,555,32932,8735,0,0,60717,31839,4550,199818,20313,3531,259477,1850
297872,1762,1014,2454,9288,226,0,987,13027,6951,0,0,139654,73804,2697,162417,38500,2370,217623,2154
262280,1025,344,5281,15333,54,0,259,32438,12634,0,0,57640,11518,414,240601,26247,2159,303497,1076
326676,2025,471,4988,76752,94,0,491,10622,7000,0,0,107599,26366,2108,100615,43363,4007,259441,182
251008,301,161,2771,30858,0,0,326,38607,6487,0,0,40225,59254,140,387246,39197,774,115255,190
223497,946,1096,0,37759,286,0,821,22197,11817,0,0,115284,43652,401,98378,40206,1357,374472,631
112372,1052,559,0,45374,0,0,200,24314,1148,0,0,455427,11377,0,50951,41340,15072,178784,34830
217765,1082,433,9331,54722,16,0,520,10384,4487,0,0,101285,171164,6308,26659,29766,2463,336099,316
424466,1550,0,0,16917,250,0,281,10951,7138,0,0,141805,9431,0,223723,18307,2051,113825,2105
156514,67,561,1732,237636,232,0,776,18322,5566,0,0,87229,12508,27120,381105,16509,268,26597,58
350549,2830,2261,0,14529,0,0,251,21603,5155,0,0,128746,58810,0,257908,21801,4354,102024,1979
118239,9806,0,0,100692,86,0,1076,73432,43686,0,0,264135,26295,10845,107890,48845,5872,161889,12
426843,718,87,0,644,69,0,437,9513,7444,0,0,183428,38379,7885,158220,13378,2165,122351,1239
198506,2728,48724,0,138595,0,0,733,32213,9143,0,0,95131,65432,0,99021,29692,9693,229436,13753
390772,756,98,0,2355,1534,0,1122,55959,10582,0,0,24000,14202,0,256101,12544,1306,200273,1196
352814,3,48,0,35838,0,0,0,39095,930,0,0,111724,1689,3917,411402,13078,14,2244,4
393970,12382,119,0,31687,106,0,1099,167783,12280,0,0,4299,34,122,44504,3497,16602,284038,278
359097,1193,38881,0,58339,12554,0,5073,52225,12647,0,0,23018,1742,0,107193,99958,2240,198231,409
275003,1914,755,1563,12747,312,0,377,35666,8876,0,0,62888,48937,1952,232137,21004,3559,262651,2459
375668,42,1557,0,21387,1016,0,1248,30355,16040,0,0,7101,4191,0,200315,1488,128,312264,0
380111,619,0,0,49533,590,0,2505,81627,7880,0,0,5000,3921,0,165315,93430,888,181381,0
271032,2041,0,4835,49124,0,0,0,33255,793,0,0,171857,7840,12329,403819,9362,2843,3670,0
283226,806,3089,1845,33457,58,0,100,34489,10859,0,0,55109,26904,5950,222656,25848,1081,266844,479
161707,2045,459,11437,6977,2,0,110,17189,14351,0,0,99145,41941,11935,108185,39955,4910,450318,2134
199812,4255,1161,0,86180,21,0,96,47454,8530,0,0,71682,89529,262,219853,37734,9582,196525,124
215397,959,2103,8888,2512,0,0,1290,17395,5445,0,0,161647,92340,10516,135793,38369,3622,273648,2876
137834,548,979,8057,5155,68,0,316,17345,16021,0,0,98488,157932,3900,109531,52758,1635,362233,0
159447,7179,34,0,27101,2,0,760,31884,22536,0,0,203225,30287,0,197270,14517,21733,251722,5103
230885,305,4270,12460,31833,185,0,229,15516,12185,0,0,127196,69550,9375,155045,37922,696,265148,0
220724,1244,815,78,78712,2331,0,2902,21909,33156,0,0,64611,44858,60241,111084,90096,1957,237934,148
110884,3522,0,0,0,0,0,0,29082,9829,0,0,10402,108884,0,441181,4499,6719,244926,2872
142009,3158,281,0,119439,0,0,1185,28532,4834,0,0,176030,4946,3387,81545,79789,3303,322864,1498
467202,51,220,0,26968,2777,0,2653,21689,9480,0,0,9042,1609,348,168156,85155,39,177411,0
170744,11150,28,0,33560,51,0,410,37206,40351,0,0,214270,3231,16009,141930,18635,29762,247249,8214
230403,388,1035,2876,34454,356,0,823,16202,5175,0,0,63071,8955,63764,484300,13045,792,47001,160
262199,69,1246,615,116130,25,0,331,40138,9309,0,0,46691,49636,671,248881,19309,579,176443,528
315865,881,377,0,0,0,0,64,143115,27562,0,0,37772,0,0,284399,3706,4587,152493,1979
380024,206,0,0,93111,567,0,4734,29194,7742,0,0,19014,95011,0,130197,50018,516,161978,488
210689,1713,107,0,68440,6,0,828,12952,2729,0,0,275190,135019,2906,35367,14138,4580,207785,351
274406,1890,202,0,0,1052,0,477,28710,8376,0,0,106054,29436,27722,257656,42112,2793,187602,4312
356508,733,62156,0,78207,2313,0,4570,64743,24942,0,0,32112,0,0,133909,26097,981,185529,0
289266,217,22,0,75649,19,0,212,10742,12631,0,0,129058,35224,5648,317285,4883,3570,81826,6548
368903,13688,3880,0,5473,0,0,2601,167638,4973,0,0,58402,5090,62,27709,1597,17978,294806,0
131814,1084,0,0,108781,0,0,1423,71502,7626,0,0,323592,21057,0,110768,64154,1177,126788,3034
118575,2833,727,10428,2624,74,0,287,20098,14581,0,0,100216,99090,12179,114627,56496,5204,414455,306
293412,737,8487,555,176149,0,0,80,58369,14443,0,0,14350,128470,0,196859,4799,2395,65816,7879
149537,477,1380,692,37657,0,0,97,3273,980,0,0,193006,297026,8970,21976,16987,3351,234529,2862
206774,2216,322,0,154374,49,0,796,4655,3613,0,0,158709,176593,15390,35878,50998,3557,155348,3528
528793,1317,0,0,25887,0,0,102,53252,2524,0,0,0,137,0,119350,2306,2537,236595,0
302517,3309,6154,1070,9147,140,0,946,11447,9752,0,0,109693,79837,14826,135294,40683,4818,242541,626
404031,4411,3095,0,9790,413,0,2064,56585,11435,0,0,55505,6403,7605,88343,4989,7803,310328,0
434743,2550,1476,0,29524,523,0,1470,16400,7284,0,0,17966,85709,15156,111921,84941,2921,160194,22
323000,5559,64,0,97521,64,0,348,19676,10302,0,0,100882,89684,5582,166519,10273,14105,123031,6190
582427,1223,0,0,0,0,0,48,34727,24956,0,0,0,0,0,184098,31098,2593,111051,579
342172,982,2912,0,2242,319,0,3642,168073,7926,0,0,64215,2067,0,35570,1532,1210,339938,0
341702,86,510,0,66001,34,0,473,52057,12198,0,0,51521,40051,1220,188245,6981,139,211341,241
172202,848,0,0,32821,100,0,120,51903,2490,0,0,246077,5642,7864,422256,20389,1820,8268,0
425774,72,0,0,44888,0,0,5,6479,2221,0,0,0,155367,147272,57146,5564,407,127416,189
186203,2347,844,416,22681,238,0,555,31379,17139,0,0,93730,120145,2343,149240,32921,3702,308610,307
328440,3563,4853,0,18556,0,0,140,16352,5061,0,0,131484,38959,61,286546,19397,3988,115107,293
201117,8155,691,2774,70595,50,0,909,28985,5625,0,0,76146,164834,71046,103670,56859,9408,171936,0
416123,1052,72,0,32870,854,0,731,46061,2542,0,0,2654,152267,105,54724,11381,1965,248336,1063
166729,198,57,34558,125734,107,0,91,86590,5388,0,0,134709,11770,12023,369108,14534,353,10851,0
515354,697,801,2892,65779,117,0,353,12738,4180,0,0,46482,24991,593,124746,15945,1292,155471,369
221903,2481,297,0,220847,143,0,898,13738,22665,0,0,169702,57204,1067,41606,45339,4345,170360,205
174281,2159,551,784,45559,135,0,443,84036,2435,0,0,162367,10887,26793,392396,42256,3580,23639,499
244446,934,618,21116,484,0,0,111,23869,4375,0,0,60243,44560,2529,305142,37749,1776,224840,8
285913,3376,1517,0,57569,679,0,1792,20012,10573,0,0,36875,62545,22637,114744,110419,5085,239043,21
233319,730,976,15765,10773,269,0,502,22696,7322,0,0,84404,131573,8289,160806,34253,1147,259976,0
282207,3528,1901,0,0,1155,0,1404,87104,33849,0,0,52753,0,0,271748,1502,6604,229045,0
123585,6016,1291,0,69571,0,0,1481,14952,7682,0,0,291050,10918,14199,357987,21457,5626,46577,408
325972,123,1143,14223,48991,0,0,151,7992,2092,0,0,196784,132486,18187,25593,10667,427,187969,0
106546,5376,2136,0,136468,379,0,420,39340,12408,0,0,249874,17513,41776,42015,140888,7260,169526,875
307782,2992,851,0,76287,0,0,27,81963,1509,0,0,98398,2464,0,213510,169960,7947,9110,0
224658,102,201,675,242181,83,0,179,3548,9887,0,0,101429,22224,0,62674,24468,693,279356,442
190888,1248,0,22665,69226,55,0,0,21994,1876,0,0,39812,2228,39116,227612,27157,3301,325622,0
262100,2075,10,0,85118,29,0,416,73655,9370,0,0,144745,9035,6914,162019,12688,8109,193833,2684
374302,75,0,0,51490,607,0,2924,66315,7040,0,0,5051,9500,0,185086,98484,1701,166647,3578
213337,955,144,21,51870,0,0,107,30156,2402,0,0,288769,4296,7590,326008,38482,1522,7141,0
261351,417,223,3300,91932,37,0,348,19340,6034,0,0,36778,55727,1606,320147,40606,973,133657,324
310891,67,174,0,43097,25,0,260,69233,8374,0,0,36897,36683,802,224268,11674,1148,227914,1293
261186,1089,362,8443,41791,57,0,714,32531,3081,0,0,110058,123815,2396,74351,32761,3281,275921,963
254534,467,764,0,63817,301,0,2153,65518,9383,0,0,110192,47265,0,205913,7512,1453,203140,388
376713,287,37,0,5272,75,0,0,30790,800,0,0,102540,1925,5854,432382,13488,419,2209,9
368571,490,0,0,49049,524,0,2618,113003,6312,0,0,5193,3907,0,159047,105153,1776,155091,2066
277515,5733,17,86,109113,104,0,1237,67191,6286,0,0,40428,2951,975,109054,4779,11415,328084,7832
95177,328,3,886,120104,0,0,139,36277,2430,0,0,298525,6663,0,387702,10585,489,11226,2266
196145,4652,0,0,193899,0,0,12,4771,1471,0,0,148518,114854,0,10308,8988,32853,253754,2575
388377,262,68,0,55547,1436,0,1653,46878,4161,0,0,96579,3780,273,119552,10587,230,243215,202
282544,390,195,1562,87543,20,0,184,26815,6093,0,0,35773,56770,1821,309872,33224,1256,128430,308
108242,1140,3790,4524,5,51,0,480,23249,5663,0,0,127658,57851,19860,240435,57020,2279,319841,712
260124,7801,232,520,167705,183,0,3718,25216,13148,0,0,68134,160274,1541,101746,24188,17944,118203,2123
215514,2397,507,0,73937,93,0,601,22329,11375,0,0,117101,52440,2068,93704,37178,7551,330566,5439
317607,1586,429,5834,55683,0,0,488,13017,6593,0,0,105229,55289,0,96659,41111,7791,261423,4061
199105,7365,195,0,108354,97,0,896,41190,6949,0,0,185480,13507,18041,270016,15406,9965,94586,1648
353015,2358,7292,1772,39781,50,0,205,39697,13748,0,0,82833,27982,7150,188979,39954,943,166674,367
172053,1686,545,0,57733,187,0,63,4785,3399,0,0,300327,53776,73538,31992,23815,4171,242760,1970
273221,5952,1921,32,155355,491,0,3797,32747,11532,0,0,66606,35929,4626,173376,22679,10179,159701,14656
30452,4491,4499,0,0,0,0,0,47315,11147,0,0,16904,79394,4233,529024,16056,9046,215582,4657
177472,2402,12073,0,11922,971,0,1145,27430,14484,0,0,173937,31332,14760,262404,52214,5410,178697,6147
306631,1160,315,6045,47918,0,0,241,13886,7014,0,0,121988,38020,351,102084,45015,2404,278867,861
467506,143,38,0,24893,2865,0,2521,20162,9283,0,0,8957,1453,97,171165,64451,367,198777,122
252953,1959,0,0,15702,160,0,1071,59260,10459,0,0,133138,1546,2914,261593,43462,3236,184170,1177
388021,1120,153,0,63431,106,0,859,50900,8506,0,0,22963,1529,0,347625,3665,2699,80984,239
198914,1261,0,1560,1,0,0,1197,36189,14470,0,0,85521,34766,6374,231232,22636,2356,334799,1524
171578,6262,71,0,26397,41,0,558,45665,25965,0,0,183546,34811,12469,221584,12636,13854,209381,7982
235674,1452,338,7093,22539,66,0,598,29156,3128,0,0,110535,132749,2430,76358,36895,3490,309223,1076
366824,47,421,0,98043,289,0,339,88354,11086,0,0,79243,3947,0,158187,653,1645,159296,4426
141760,13830,54,0,105236,0,0,0,57786,6026,0,0,238680,32317,30134,61027,88270,20267,173853,3560
215919,1080,316,0,175723,178,0,172,39280,12525,0,0,22842,19156,2126,439522,3683,1787,38126,365
243342,379,0,1195,72879,77,0,56,17233,3864,0,0,42864,200,31054,79789,41390,1461,437017,0
397757,5432,398,3901,48428,0,0,49,31609,13043,0,0,18216,41200,4311,218441,9202,6676,172644,1493
321541,1829,119,0,29540,205,0,314,8118,4855,0,0,336760,15468,13477,66258,33191,1737,137548,1840
381880,3340,186,20654,143457,123,0,963,4385,2851,0,0,103502,25786,943,85795,42009,4497,152148,281
412556,3582,9339,0,18804,1800,0,9826,88555,25286,0,0,143878,591,0,88746,4971,3367,161493,6
464151,1045,1394,0,859,50,0,362,11584,7673,0,0,139122,21613,7098,186343,13082,3311,112854,2259
235054,1654,0,5185,27056,0,0,0,21185,601,0,0,181211,0,4647,293238,195786,2194,4989,0
193703,3133,1159,798,203024,0,0,208,26159,7954,0,0,87248,5620,11850,99497,102117,8201,214736,7393
364970,1133,1072,0,11405,450,0,482,53225,61165,0,0,3630,2394,0,299026,16560,5647,145781,5860
190734,959,3167,3385,11011,525,0,668,15438,8617,0,0,72800,79764,26598,152461,52830,2349,350613,881
239525,1547,12625,0,7360,2369,0,1334,15893,8883,0,0,222004,111568,86370,71486,45619,12564,119454,14199
269876,2715,5015,9,33636,643,0,1803,23074,10159,0,0,39355,21651,12024,134402,123943,4010,290456,29
205514,1920,284,0,192819,137,0,115,27398,5163,0,0,24366,406915,0,89724,3142,1417,13591,295
335910,1357,640,0,33072,0,0,28,33916,1414,0,0,193341,46,0,295541,43206,1727,32602,0
131126,6022,1252,0,78085,0,0,559,17045,6593,0,0,299440,12593,11080,339214,18862,5913,44211,805
351158,6048,5,0,19688,103,0,1187,184850,2994,0,0,4845,72,102,47266,3488,537,349996,461
280007,1904,15,0,73302,188,0,918,18569,8745,0,0,106067,67288,2322,95207,36005,2681,279179,403
101639,119,1287,71,177944,0,0,1433,71081,11800,0,0,40880,13923,148484,150665,79629,412,173427,6
630579,526,0,0,3153,101,0,8256,41786,9905,0,0,9,412,0,160287,33531,1222,83033,0
232652,2408,2904,0,0,173,0,182,24514,5851,0,0,97086,34327,0,445522,11868,3328,111031,954
50312,3068,6757,17,0,0,0,0,36176,11595,0,0,14381,71656,0,517838,16240,6994,233575,4191
490518,334,125,0,64792,33,0,255,3932,4536,0,0,280391,8171,12230,27814,17640,562,61397,70
430865,30,1953,0,40002,1654,0,1694,56852,69198,0,0,4271,7005,0,185748,2497,74,170957,0
452383,196,0,0,19357,2541,0,2326,24656,6852,0,0,9859,11648,315,176232,48122,415,217721,177
206499,1305,19,0,84602,22,0,201,25665,10894,0,0,39634,33801,97863,220147,39349,2707,210024,68
307832,3116,473,0,0,0,0,43,141943,25539,0,0,52028,0,0,250806,2668,7567,178251,2534
173761,5533,11043,0,12391,0,0,853,21813,8443,0,0,172068,22504,15635,272574,47642,10979,192925,4636
222711,710,11,0,79063,35,0,400,57159,11643,0,0,205344,161947,5437,153161,4790,4013,62547,3829
