building,bicycle,fence,wall,sky,traffic light,terrain,traffic sign,person,pole,train,truck,vegetation,car,bus,sidewalk,void,rider,road,motorcycle
139642,310,3736,3981,148835,474,67217,1711,158,18804,0,0,468290,117889,0,24426,0,841,821952,0
222798,2108,2777,0,35590,0,66285,33460,1775,13398,0,0,456514,172586,0,237873,0,0,727903,0
125680,5201,0,143228,151291,3390,0,2777,2608,23651,0,0,585783,8278,0,170523,0,13810,726477,0
333460,0,15732,0,159284,17952,279603,27879,0,46234,0,0,224001,7474,0,45528,0,0,751799,0
470188,0,20237,33469,3567,0,0,0,6364,2651,0,0,133400,155727,0,46202,0,0,809022,0
282869,2783,0,0,190560,6263,0,8259,53531,30740,0,0,193117,525709,0,9994,0,349,543622,4121
550308,1339,5834,0,75427,140,0,9972,0,8637,0,0,222709,272867,0,82984,0,0,663639,0
400161,2926,53090,0,24604,788,0,31566,34910,58777,0,0,22326,12979,0,115512,0,453,352569,0
342115,806,5997,0,3471,9615,0,16812,32765,33385,0,0,418219,20840,0,89114,0,0,893814,0
403615,3903,0,0,15497,144,28255,22376,2842,48800,1924,0,423932,31592,0,273102,0,0,709133,0
755136,0,0,0,66127,0,2859,1397,10839,19579,0,2546,65561,1619,0,317478,0,0,649677,0
715102,0,0,0,53283,0,0,0,6639,50,0,2111,39316,464350,0,3151,0,0,695184,0
235129,0,0,498,3636,10199,91689,530,2317,10526,0,0,447653,164108,0,4775,0,0,811672,0
488100,0,0,0,18437,19745,4358,11218,1842,72348,0,0,185310,37237,0,248701,0,0,759947,0
637790,0,0,0,59545,0,176,2798,9764,17390,0,0,98543,104380,7621,181940,0,0,706468,0
509134,2300,0,1011,60846,0,14877,5630,6064,5878,0,3163,253463,252082,0,29844,0,0,825423,0
124051,25898,0,0,16171,10029,0,5223,26701,18626,0,0,468409,110779,0,41246,0,26398,1028212,9600
818293,1406,0,0,55300,0,0,6325,87597,6828,0,0,5612,196348,0,70807,0,2750,712990,0
677530,0,2879,1360,124090,5806,786,2645,20461,24679,0,0,16203,2543,435,70464,0,67,893949,200
99977,1330,323940,8475,39145,99,0,16312,282,30723,0,0,412084,0,0,207056,0,1463,721167,0
142647,5483,0,14890,59484,7529,0,39517,17067,39482,0,0,530553,105328,0,54430,0,3364,786393,0
694034,0,17487,25242,75442,0,0,14765,18474,5999,0,0,13235,205064,0,113305,0,0,683723,0
190444,0,26210,9285,83505,16265,0,5975,11036,72657,0,0,461925,94365,0,136176,0,0,789324,0
851313,1027,0,0,10194,160,0,883,173206,25342,0,0,54901,18722,0,326969,0,0,378513,0
501064,942,14361,2130,78453,3804,7499,9551,70255,69536,0,0,145122,37463,0,248869,0,23,641018,0
85656,1707,55563,5724,396210,0,0,6411,3680,25635,0,0,309241,0,0,249819,0,1740,791648,0
708627,0,0,0,85325,0,0,2476,0,1554,0,0,15664,515692,0,1670,0,0,640837,0
698927,1922,0,0,45288,0,0,2946,3206,5208,0,0,217867,25280,0,43135,0,2301,710922,0
51169,16902,0,14083,40909,0,7417,4430,22870,11977,0,0,818484,77562,0,21866,0,8045,840899,0
220491,0,3587,0,7787,112,260097,1774,338,29516,0,1518,497309,82746,0,7378,0,0,672836,0
250007,0,0,0,8213,0,39782,53929,214,13077,0,0,433819,129041,0,31979,0,0,803818,0
587963,39768,0,0,0,4167,1231,10682,3122,19735,0,0,245373,30262,0,96976,0,0,653542,0
133351,6663,0,0,137303,0,1152,34737,17925,49873,0,79349,422831,140094,0,70350,0,0,658456,0
237933,617,31535,0,153225,0,12870,9364,430,4836,0,0,481710,156108,0,268975,0,0,608138,0
579729,0,22551,0,80393,0,76223,28987,132014,18213,0,1121,118693,29518,331,218462,0,0,597902,0
187613,0,1367,29272,113886,6525,618,4718,2789,23234,0,0,689143,34041,0,41150,0,0,832413,0
76831,5691,818,0,106374,7659,38818,12617,23146,29506,0,0,586330,61788,0,30325,0,3578,869217,0
103491,1926,2160,0,238114,10315,16750,24460,52298,41904,0,0,302292,18191,24733,78555,0,3999,793827,0
335813,1097,0,114846,40062,4505,5833,1965,12225,13359,0,0,354174,95848,0,107765,0,0,763346,0
37373,23363,0,0,77250,14530,0,3198,63703,28068,5830,0,371313,175288,0,22390,0,10028,830133,0
514728,18786,0,0,85067,0,7319,4542,0,1009,0,0,246477,213774,0,75823,0,0,750299,0
545087,0,0,0,81038,0,0,16364,557,21132,0,0,300777,125217,0,90202,0,0,793798,0
423188,64893,0,0,25073,10256,43543,51584,41115,30332,0,0,310268,106350,0,109949,0,1196,622066,0
723054,12861,9183,0,13878,0,11308,44334,33263,14656,0,0,251528,4552,1529,274943,0,0,576957,0
416630,22066,1145,0,66213,27207,0,15583,88165,86450,0,0,94019,27138,0,138947,0,13342,802618,0
301845,0,137779,0,75446,3754,26631,3336,10207,11136,0,15798,358784,26183,0,70708,0,0,801555,0
887212,2025,10318,73791,1670,0,2934,10694,0,4471,0,0,64015,17007,0,196623,0,0,668582,0
87948,0,0,0,40979,1615,107044,12227,0,19842,0,0,614590,312436,0,322,0,0,668541,0
225782,0,0,0,108177,12528,41800,3366,698,75976,0,8955,368408,198503,0,3859,0,340,798659,981
354102,0,6784,17248,269418,0,0,1026,96152,7888,0,1920,42260,25216,0,67267,0,0,830307,0
310906,2971,0,0,62276,29610,15318,19210,2756,61951,337,0,419153,61218,0,42792,0,8159,694998,0
263822,0,44568,0,95142,1000,6741,17311,24202,7933,0,0,446461,0,0,123490,0,0,745295,0
147037,0,34638,0,30976,0,84089,4910,0,30889,0,0,736509,4178,0,140879,0,0,763577,0
634558,2084,0,0,12842,0,0,19175,25299,10413,0,0,140262,138016,0,154922,0,3199,711628,0
773634,28205,0,0,24124,2432,0,5400,25172,7849,6607,0,58131,4131,0,107505,0,13109,885005,0
787241,0,0,0,116825,5053,0,2769,16267,8650,0,1458,2635,39737,0,150943,0,0,726670,0
297837,4807,0,0,61532,0,124794,19561,27661,30561,0,0,396672,263699,0,138044,0,0,494834,0
390137,0,3244,0,97215,0,232092,2340,538,7319,0,0,458964,93207,0,6724,0,0,689554,0
145668,0,0,835,24300,90,105035,244,6841,12711,2564,0,630946,279167,0,224033,0,0,387165,0
396670,3567,43664,0,11913,2958,0,3086,9909,16889,0,0,394049,60649,0,212657,0,0,634909,0
243909,13990,0,13288,127437,239,0,32362,156313,68662,0,0,299490,0,0,285213,0,0,594552,0
289660,0,0,0,52178,246,163716,377,9448,9217,0,74887,320437,95388,0,102288,0,0,677690,0
864266,0,0,0,64938,0,0,8766,22752,2533,0,0,14412,68871,0,150940,0,0,758070,0
782024,9990,5587,0,0,0,0,4875,0,885,0,0,55029,71372,0,149033,0,0,735416,0
400869,3487,8600,0,175898,4499,11913,5006,0,18067,0,0,314908,12021,22402,54663,0,2677,931761,0
403222,89466,0,0,0,0,85124,3119,33410,16812,0,0,280635,293472,0,14279,0,0,621355,0
578147,3231,0,0,95963,4413,934,3046,21722,17651,0,0,145907,61388,0,127082,0,4517,897420,0
413422,0,0,5301,25583,0,1979,0,0,6334,0,0,638941,207380,0,14090,0,0,436140,0
594775,5892,0,0,26387,0,4001,11560,6385,2931,0,0,454589,47913,0,431412,0,412,391741,0
789863,4562,10054,0,0,0,0,5388,18677,32271,0,0,57982,0,0,63341,0,0,998042,0
139483,0,65340,202700,90513,2418,398,5778,2394,25765,0,0,563213,214873,0,106278,0,0,517343,0
232347,0,116903,0,290472,0,0,2760,0,20343,0,0,346575,24500,0,191428,0,0,631629,0
52072,0,0,14559,30430,0,2519,10492,26628,54183,0,0,426710,11337,0,256879,0,0,670847,0
502238,5937,0,0,36366,0,31033,34449,486,23832,0,0,237362,51681,0,279807,0,1311,650964,0
586474,14819,0,19510,66326,146,4874,229,4094,12229,0,0,156263,201412,28344,4954,0,0,787407,0
463568,10168,0,0,5971,132,0,5566,55594,8217,0,13325,258001,205879,0,61850,0,0,633768,0
570360,5353,0,0,667,0,1904,6189,0,5796,0,0,250901,353572,0,21199,0,0,561571,0
513716,0,14648,8039,43135,0,166941,0,2073,13831,0,0,285607,3361,0,123361,0,0,661778,0
643178,0,0,0,91269,0,2752,2675,18848,5909,0,0,66508,161231,0,70613,0,0,888245,0
287314,1791,0,2626,150263,211,22663,6651,0,14294,0,0,408077,74240,0,158210,0,0,837930,0
426942,5633,0,0,8999,0,87167,2537,5281,16637,0,0,319416,325350,0,19420,0,0,567869,0
824043,4985,0,0,98386,0,0,6471,110362,43236,0,0,8546,6525,0,365555,0,10237,464502,0
289104,5081,8209,0,152219,386,27143,4835,2986,60584,0,0,251386,45634,124066,191473,0,6824,649699,5385
488565,2708,772,0,68705,9023,0,12284,67720,72840,0,0,263185,4331,0,97084,0,1725,847608,5165
627013,0,0,0,9537,0,3364,13550,2802,4815,0,0,256878,180136,0,63616,0,0,766354,0
658027,15459,0,64933,4014,514,0,2774,111033,5742,0,0,48443,87589,0,0,0,0,660031,4747
466488,1972,0,0,508,216,1143,0,0,17650,0,92108,355721,15660,0,39286,0,1620,867994,0
129626,0,225857,0,231083,2901,4784,23700,4117,34097,0,0,444036,222630,9007,68481,0,0,421715,0
55620,0,121002,0,186029,7366,309,3910,0,32595,0,47343,529285,28042,0,190330,0,0,733629,0
326182,168,178218,27214,127023,111,0,14539,17181,28158,569,0,198641,1590,0,167972,0,537,752830,0
429862,4847,0,0,44052,12074,0,15557,15313,33098,479025,0,588,446117,0,52380,0,7667,273685,0
722221,0,0,0,96976,2294,182,16751,3895,7530,0,0,98890,124140,0,22420,0,0,644570,0
324323,493,9355,0,106608,1259,86290,8273,8271,15297,0,15683,359071,18042,0,57583,0,0,937010,5334
238898,7564,0,911,115909,13868,1713,7216,878,11679,0,0,453803,190819,0,73351,0,4834,846889,0
1087221,1850,0,0,231,0,784,2987,21204,5105,0,0,55003,35282,0,280966,0,0,406851,0
168891,0,80133,0,151880,959,218456,522,0,64896,0,0,505302,57535,0,0,0,0,698220,0
239035,0,0,0,233027,943,3385,1514,7105,11110,0,3346,626621,1434,0,230852,0,0,619748,0
78072,10227,26165,7288,3577,11213,892,3294,24370,18198,0,0,596784,50074,0,62218,0,4637,881986,0
553412,0,379,0,28809,0,0,0,5039,24299,0,0,364302,143877,0,175704,0,0,480473,0
320297,128315,0,0,0,0,0,125652,128089,40548,0,0,299855,0,0,508910,0,0,164677,13065
0,0,0,0,0,0,0,0,0,0,0,0,927114,201246,0,69264,0,0,785072,0
606756,0,0,0,103969,3106,0,7184,8272,6694,0,0,121040,205057,0,22571,0,0,772966,0
148291,1549,484,11078,6325,50,12621,8067,1161,14935,0,0,773508,104413,0,131471,0,0,673478,3791
475305,2454,15438,8330,143168,3271,2819,3126,219,29648,0,0,152182,0,29464,94024,0,408,895861,0
175185,4076,1493,0,100086,786,5806,12984,49733,10895,0,0,272553,15786,3594,85500,0,2127,804002,1043
777062,1673,0,0,0,0,0,15378,82362,2367,0,0,75483,291983,0,36927,0,1001,691062,0
674523,0,0,0,29076,3841,0,2748,4177,48724,0,0,160067,74703,0,105611,0,0,600732,0
281985,11806,0,7808,87204,0,0,15144,57931,57705,0,0,302665,283691,0,15283,0,0,503574,959
148338,150,2645,0,61214,275,22411,45387,9970,3681,0,0,534960,73848,0,69965,0,0,869843,0
43172,174,99780,17921,67569,0,0,1641,26317,6285,0,0,600975,4578,0,205203,0,167,769138,0
54862,0,78029,153794,9943,0,25210,25776,76117,26520,0,0,571539,0,0,251884,0,0,692017,0
15016,167,0,0,0,4595,54194,4457,54933,12429,0,0,647028,2401,0,106069,0,208,805940,0
1086513,0,0,0,0,0,0,21704,56521,6802,0,0,0,218405,0,163065,0,0,429773,0
31483,963,92737,28087,63423,0,31453,188,845,9564,0,0,705108,99123,0,158268,0,1699,757951,0
751426,0,0,0,77023,253,0,25100,14259,14828,0,0,3210,9608,0,160442,0,0,695759,0
753380,16494,0,0,27538,0,0,5168,19311,11794,0,0,16748,118258,0,204735,0,0,640453,0
394851,0,0,2537,28010,0,4289,4156,0,19432,0,0,301980,433182,0,16959,0,0,521132,0
485087,5498,0,1310,22079,2175,2446,6361,4356,8716,0,0,287382,294538,0,349,0,1764,671609,0
101523,0,72155,0,89033,12247,25905,3500,0,61816,0,0,538848,80983,0,153267,0,0,818104,0
696134,454,0,0,64973,78,3265,0,2591,6284,0,0,97854,187929,0,27875,0,2417,826484,0
92074,0,0,0,121084,11439,0,13114,383210,30522,0,52653,419743,62262,0,0,0,0,732245,0
559742,0,48143,25865,1282,2187,37802,12743,21066,13404,0,0,341331,14964,0,249473,0,0,575810,0
130349,0,18323,2415,145965,0,0,2300,2732,16873,0,0,593685,122285,0,34077,0,0,883731,0
293690,3093,0,0,32181,4241,1348,1659,7736,12727,0,0,536098,77565,0,28094,0,1685,965155,0
216165,4174,11696,73293,223873,2244,0,11384,13203,47921,0,1393,326557,25925,8693,40142,0,13953,896675,0
439710,56320,0,0,14706,0,0,8490,49975,45691,0,71268,204268,0,96573,203944,0,8982,450458,5478
871347,0,0,0,88991,0,0,14135,23379,10276,0,0,0,136068,0,167761,0,0,659386,0
440202,0,0,0,24700,42219,140794,3954,34,65274,0,0,272598,141014,0,64115,0,0,625989,0
257490,0,2246,0,70517,22368,4788,16851,2627,48359,0,0,349148,70399,0,33876,0,0,869851,0
545312,8042,33101,0,12515,16014,16668,2229,6454,40203,0,0,293130,46947,0,52110,0,1144,881043,1805
608179,11198,0,0,56766,36195,0,5674,138119,24713,0,0,35140,177482,15307,42717,0,6708,625791,3694
325511,5760,111577,0,172926,0,5533,17313,1657,17225,0,0,248036,66048,0,152046,0,437,752493,0
364620,3445,1962,0,7880,1470,305,17236,2073,18487,0,0,488693,96547,21711,30154,0,0,893747,0
590406,8015,2249,0,50104,5301,2053,11523,233,27936,1909,0,367416,97831,0,111700,0,0,687847,0
499250,10953,9666,38188,38090,550,281,2720,121167,20468,0,0,235884,120460,0,171633,0,0,619469,0
349539,3412,35398,6269,47804,1151,1636,7876,285,12962,0,0,319248,279746,0,6553,0,0,781216,0
362362,0,226203,46847,41015,0,0,21005,0,16754,0,0,231470,103880,0,209625,0,0,507409,0
483981,4510,0,9118,74528,20282,0,24188,2244,35430,0,0,230405,94601,0,57263,0,8056,923916,0
126401,0,34987,23730,40560,60,49309,16445,0,11409,0,0,529218,94039,0,74130,0,0,861596,0
17376,0,0,2406,229816,0,30527,5783,18995,15989,0,38946,621252,38456,0,246667,0,0,677602,0
538950,11360,0,0,37456,0,20914,5879,17679,7540,0,0,359171,30582,0,97123,0,699,814655,0
688842,6586,2483,0,13829,0,0,6263,99156,21749,0,0,85648,0,0,168709,0,0,713872,0
618261,37794,22524,223033,5715,0,0,1458,167471,108,0,0,148969,0,0,295718,0,25822,325972,40871
316782,85971,0,0,274908,2902,2436,6592,268845,99007,0,0,60879,5640,3198,129154,0,38584,534654,0
213397,750,0,0,112353,0,43938,7532,0,39977,0,0,405306,55779,0,31077,0,0,818415,0
841670,0,42334,0,0,0,0,13970,22279,4791,0,0,5305,0,0,159916,0,0,733031,0
376026,0,0,0,7764,0,5044,5869,2977,4555,0,0,477330,127906,0,235457,0,0,587245,0
761918,43234,0,0,11510,436,724,26300,66588,40880,9596,0,10392,1050,26229,427510,0,668,453328,0
182200,3609,10146,0,104627,14957,8260,13715,45278,35022,0,0,358053,171072,12268,69976,0,7562,764464,411
550052,0,0,0,31448,0,0,41659,1461,41857,0,0,45842,357682,0,224573,0,0,555555,0
347382,123,0,0,140380,0,72,10080,9624,10056,0,0,299762,241295,0,6608,0,0,805593,0
293807,4678,113129,0,45917,6430,0,7616,3074,24124,0,0,467454,54260,0,64650,0,1790,880627,0
27621,1081,4414,11714,207215,895,762,2076,18428,11681,12223,0,622461,210953,1571,55514,0,810,785054,2047
255221,3167,21931,5144,0,13645,0,13610,7410,25259,0,0,330211,51733,0,120397,0,3900,878366,4691
753380,3469,0,0,0,0,0,5681,0,2432,0,0,203118,254487,0,127338,0,3222,621116,0
494769,2009,0,0,87004,755,6406,4536,5056,6201,0,229,329389,187721,0,48272,0,0,662354,0
96824,0,0,0,291914,11773,158517,18566,0,65967,0,0,383627,31846,0,103526,0,0,753870,0
361971,0,0,0,101255,2877,1367,5619,2113,12622,0,0,243641,265130,166716,12532,0,0,743948,0
864089,0,14009,0,7558,0,0,381,103,2230,0,0,86907,317651,0,176695,0,0,397123,0
227567,0,0,16550,337436,16525,1029,7737,0,41489,0,0,193240,263841,0,16004,0,4194,845569,3982
506264,1419,0,0,15590,1197,0,16089,53611,19074,0,0,268691,23832,0,146109,0,0,867937,423
336610,1945,140253,66704,66692,0,1764,5372,0,33637,0,0,443897,173102,0,276812,0,509,425912,0
453140,777,0,0,14640,0,2317,3605,1147,25585,0,0,381331,242247,0,30122,0,0,671338,0
931579,0,0,2578,15127,0,0,3005,98379,3588,0,0,173274,12793,0,225014,0,0,510350,0
621309,0,0,1482,47207,12037,0,4872,76424,29402,0,0,38581,28112,26464,86221,0,0,886836,0
260561,0,0,26439,29305,0,14206,32748,13586,16653,0,0,434985,197792,0,99094,0,0,643776,0
430283,1042,1108,3343,16041,0,7726,14102,210,10526,0,0,366799,86119,0,614,0,0,779236,0
147732,0,0,30617,97618,0,14401,0,0,2656,0,0,664235,104381,0,106277,0,0,749175,9320
682260,955,0,0,80765,0,0,1283,315,6589,0,0,17724,371726,0,556,0,0,802779,0
240241,0,1273,0,27062,5794,54143,20220,5054,36292,0,3425,506050,124150,0,20624,0,0,914973,0
285097,0,165332,103095,28144,147,0,4282,0,8898,4929,0,367278,2304,0,153151,0,0,634729,0
274610,13230,1956,0,67945,0,0,11500,1243,29262,0,0,506709,252184,0,229511,0,0,533723,0
351383,1758,0,313,65768,1284,101190,4320,1156,57037,0,0,334588,4467,0,66234,0,3124,761959,0
455486,14138,3199,0,114251,5559,27571,3196,4427,19160,0,0,215716,161098,0,61065,0,0,813320,0
486370,6149,25534,7315,0,0,538,673,5479,11539,0,0,54598,46734,0,216065,0,2050,761080,8586
108519,1396,0,0,58621,5465,33052,62896,4189,52620,3754,0,590975,190570,0,15321,0,0,702852,0
408851,0,12818,4668,59886,5372,136361,13000,95496,43638,0,0,317304,25802,0,132601,0,0,695670,0
548269,3134,41551,8336,0,4859,6516,4570,8602,31939,0,0,157631,0,12490,78050,0,0,866783,0
167954,0,8429,17912,350248,0,307406,6142,0,13875,0,2585,256056,69765,0,24489,0,0,664722,0
426022,448,40116,0,33424,4390,0,13072,11527,30722,0,169665,248718,20419,0,177406,0,0,586532,0
469540,531,0,0,51626,3037,61247,22080,4436,23035,0,0,321887,191492,0,50993,0,625,677592,0
473265,0,0,27531,82081,0,1476,2489,12531,16325,0,0,321363,82983,0,54906,0,0,870865,0
302383,4022,60370,52598,0,2192,8712,36722,4380,29676,0,0,520526,6720,0,155897,0,3394,776226,0
671668,4359,0,0,7729,1077,35084,30857,10613,11511,0,0,53920,69139,0,160321,0,0,786628,2370
174894,0,186604,0,45062,673,26163,1570,0,8025,0,0,282174,4026,378266,172392,0,0,686851,0
521383,28439,6462,0,181287,136,8995,3318,138,3511,0,310,192475,223870,0,1531,0,0,506915,31922
642270,0,0,0,11130,0,1159,5329,0,4736,0,0,36735,675703,0,0,0,0,481043,0
129469,3471,2392,0,124008,6234,17205,11692,41548,27321,0,0,423333,91813,0,75212,0,0,821182,1120
618708,0,5820,0,85117,0,186,3241,8513,20008,0,0,260359,59381,0,36694,0,0,803453,5709
507968,1791,0,0,76325,9544,3891,6755,777,22507,0,762,183130,192980,0,3251,0,790,943889,0
448546,11684,21533,0,151690,0,19495,11608,196220,8934,0,0,310432,27758,0,131645,0,0,500759,0
